ASIN,Titre,Statut
B071FXZBMV,"OHill 16-Pack Black Cord Organizer - Adhesive Cable Clips Holder for Desk, Wall, Car - Wire Management Clips for iPhone Charger, USB, Computer Cables -Cord Keepers with Strong Sticky Backing",success
B07FKR6KXF,"Fire 7 tablet, 7"" display, 16 GB, (2019 release), Black",success
B084J4KNDS,Echo Dot (4th Gen) | Smart speaker with Alexa | Glacier White,success
B08F6B347L,"Amazon Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, (2021 release), Lavender",success
B087RKKXM5,Titre non trouvé,not_found
B07PF1Y28C,"Echo Show 8 (1st Gen, 2019 release) -- HD smart display with Alexa – Unlimited Cloud Photo Storage – Digital Photo Display - Charcoal",success
B08DFCWVZ4,"Fitbit Sense Advanced Smartwatch with Tools for Heart Health, Stress Management & Skin Temperature Trends, Carbon/Graphite, One Size (S & L Bands Included)",success
B086VRR9K9,Titre non trouvé,not_found
B07KGVB6D6,Titre non trouvé,not_found
B081RJ8DW1,Titre non trouvé,not_found
B08YKGZF7P,"HP Chromebook 14 Laptop, Intel Celeron N4000 Processor, 4 GB RAM, 32 GB eMMC, 14” HD Display, Chrome, Lightweight Computer with Webcam and Dual Mics, Home, School, Music, Movies (14a-na0021nr, 2021)",success
B08ZN8JP3G,HTTP 404,error
B07HZJ64WD,"Echo Show 5 (1st Gen, 2019 release) -- Smart display with Alexa – stay connected with video calling - Sandstone",success
B0148NNKTC,Titre non trouvé,not_found
B086DKGCFP,"Blink Outdoor (3rd Gen) – wireless, weather-resistant HD security camera with two-year battery life and motion detection, set up in minutes – 5 camera system",success
B08F6DWKQP,"Ring Floodlight Cam Wired Plus (newest model), Outdoor home or business security with motion-activated 1080p HD video and floodlights, Black",success
B07978J597,Kindle (2019 release) - With a Built-in Front Light - Black,success
B07WGL828F,"Fire HD 8 tablet, 8"" HD display, 32 GB, (2020 release), designed for portable entertainment, Plum",success
B08R6S1M1K,"Wall Charger, Surge Protector, QINLIANF 5 Outlet Extender with 4 USB Charging Ports (4.8A Total) 3-Sided 1680J Power Strip Multi Plug Adapter Spaced for Home Travel Office (3U1C)",success
B084DCJKSL,Titre non trouvé,not_found
B07TWFVDWT,"Fitbit Versa 2 Health and Fitness Smartwatch with Heart Rate, Music, Alexa Built-In, Sleep and Swim Tracking, Black/Carbon, One Size (S and L Bands Included)",success
B07MVZZV3G,HTTP 404,error
B08F6GPQQ7,Titre non trouvé,not_found
B085WSCTS4,Titre non trouvé,not_found
B074JT3698,"ROVE R2-4K Dash Cam Built-in WiFi 6 GPS Car Dashboard Camera Recorder with UHD 2160P, 2.4"" IPS Screen, 150° Wide Angle, WDR, Night Vision",success
B085TC9N3K,"5ft Power Strip, SUPERDANNY Surge Protector 900 Joules, 4-Outlet 4-USB Extension Cord, Overload Switch, Grounded, Mountable, Desktop Charging Station for Home, Office, School, Dorm, Computer, Black",success
B08J65DST5,"2020 Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (8th Generation)",success
B08F6L6HVP,Titre non trouvé,not_found
B08YSYKBLV,Echo Dot (4th Gen) with Clock | Twilight Blue with Sengled Bluetooth Color bulb | Alexa smart home starter kit,success
B08ZN7QCRP,HTTP 404,error
B07F981R8M,"TCL 32-inch 1080p Roku Smart LED TV - 32S327, 2019 Model",success
B08YMBQJ49,Titre non trouvé,not_found
B07CCGBB7M,Titre non trouvé,not_found
B07GPFDL1K,"Delamu Cord Hider, 157in Wire Covers for Cords on Wall, Premium Cable Hider Cord Covers for Wires, Cable Management Wire Hiders for TV, Cable Raceway Kit, W0.95 H0.55in, White",success
B07N4DHFZM,"Tracki GPS Tracker for Vehicles – Real-Time 4G LTE Assets & Car Tracking Device with App, Magnetic Mount, Compact Design, Worldwide Coverage – iOS & Android (Subscription Required)",success
B07D25RSWX,HTTP 404,error
B08F6FYN6B,"Amazon Fire HD 10 Plus tablet, 10.1"", 1080p Full HD, 32 GB, (2021 release), Slate",success
B001E1Y5O6,Titre non trouvé,not_found
B08BNVQDWT,HTTP 404,error
B072M34RQC,"HP VH240a 23.8-inch Full HD 1080p IPS LED Monitor with Built-in Speakers and VESA Mounting, Rotating Portrait & Landscape, Tilt, and HDMI & VGA Ports (2DS80AA#ABA) - Black",success
B01171X0UW,NEEWER 50 in 1 Action Camera Accessory Kit Compatible with GoPro Hero 12 11 10 9 DJI OSMO 4 3 2 Insta360 X3 X2 GO 3 SJCAM DBPOWER AKASO VicTsing APEMAN WiMiUS QUMOX Lightdow Campark Sony Sports DV,success
B08J5Q255V,Titre non trouvé,not_found
B0758L64L9,"Ring Spotlight Cam Battery HD Security Camera with Built Two-Way Talk and a Siren Alarm, Works with Alexa - White",success
B08N5LNQCX,Titre non trouvé,not_found
B079RKX5ZL,"GE 6-Outlet Surge Protector, 10 Ft Extension Cord, Power Strip, 600 Joules, Twist-to-Close Safety Covers, Protected Indicator Light, UL Listed, Black, 37442",success
B08F58MXQG,HTTP 404,error
B08DHDS4T3,"TCL 43-inch 4K UHD Smart LED TV - 43S435, 2021 Model",success
